,Address,Age,Beds,Full Bath,Half Bath,Price,Size
0,"0 GatewayRock Springs, WY 82901",NA,NA,NA,NA,"$725,000",NA
1,"1003 Winchester Blvd.Rock Springs, WY 82901",New Construction,4,4,NA,"$452,900",NA
2,"600 TalladegaRock Springs, WY 82901",6-10 Years Old,5,3,NA,"$396,900","3,154"
3,"3239 Spearhead WayRock Springs, WY 82901",1-5 Years Old,4,3,1,"$389,900","3,076"
4,"522 Emerald StreetRock Springs, WY 82901",31-40 Years Old,3,3,NA,"$254,000","1,172"
5,"1302 Veteran's DriveRock Springs, WY 82901",NA,4,2,NA,"$252,900","1,932"
6,"1021 Cypress CirRock Springs, WY 82901",21-30 Years Old,4,3,NA,"$210,000","1,676"
7,"913 Madison DrRock Springs, WY 82901",21-30 Years Old,3,2,NA,"$209,000","1,344"
8,"1344 Teton StreetRock Springs, WY 82901",41-50 Years Old,3,2,NA,"$199,900","1,920"
9,"4 Minnies LaneRock Springs, WY 82901",NA,3,2,NA,"$196,900","1,664"
10,"9339 Sd 26900Rocksprings, TX 78880",NA,NA,NA,NA,"$1,700,000","2,560"
11,"RR674P13 Hwy 377Rocksprings, TX 78880",NA,NA,NA,NA,"$1,100,000","2,000"
12,"0 Hwy 41Rocksprings, TX 78880",NA,NA,NA,NA,"$1,080,000",NA
13,"9339 Sd 26900Rocksprings, TX 78880",NA,NA,NA,NA,"$908,350","2,560"
14,"CR450 Hwy 377Rocksprings, TX 78880",NA,NA,NA,NA,"$905,000",NA
15,"Cr 240 Cr 240Rocksprings, TX 78880",NA,NA,NA,NA,"$695,000","1,398"
16,"RR674 Hwy 377Rocksprings, TX 78880",NA,NA,NA,NA,"$605,000","1,738"
17,"9770a Sd 26900Rocksprings, TX 78880",NA,NA,NA,NA,"$559,805","1,080"
18,"Lot17 CR 2630Rocksprings, TX 78880",NA,NA,NA,NA,"$504,000",NA
19,"Tr12,16 CR 520Rocksprings, TX 78880",NA,NA,NA,NA,"$410,000",NA
20,"32575 S Shadow Mountain RoadBlack Canyon City, AZ 85324",11-20 Years Old,3,2,NA,"$299,900","2,318"
21,"32750 S Shangrila DriveBlack Canyon City, AZ 85324",NA,3,2,NA,"$167,500","2,120"
22,"0000 Black Canyon HighwayBlack Canyon City, AZ 85324",NA,NA,NA,NA,"$150,000",NA
23,"34775 S CHOLLA DriveBlack Canyon City, AZ 85324",21-30 Years Old,3,2,NA,"$129,500","1,220"
24,"33403 S. HA-WA-SI TERRACEBLACK CANYON CITY, AZ 85324",NA,4,2,NA,"$129,000","2,000"
25,"34263 S Bertha StreetBlack Canyon City, AZ 85324",31-40 Years Old,5,2,NA,"$80,000","2,260"
26,"33160 S Canyon RoadBlack Canyon City, AZ 85324",21-30 Years Old,3,2,NA,"$77,900","1,248"
27,"19421 E Todd Evans RoadBlack Canyon City, AZ 85324",11-20 Years Old,3,2,NA,"$70,500","1,404"
28,"18688 E AGUA VistaBlack Canyon City, AZ 85324",NA,NA,NA,NA,"$70,000",NA
29,"50600 N Old Black Canyon RoadBlack Canyon City, AZ 85324",NA,NA,NA,NA,"$67,500",NA
30,"20101 E SQUAW VALLEY RoadBlack Canyon City, AZ 85324",21-30 Years Old,NA,NA,NA,"$54,900",NA
31,"33259 S Canyon RoadBlack Canyon City, AZ 85324",41-50 Years Old,3,1,NA,"$45,600","1,056"
32,"34558 S ROADRUNNER RDBlack Canyon City, AZ 85324",21-30 Years Old,2,1,NA,"$40,000",784
33,"19260 E Scenic Loop RoadBlack Canyon City, AZ 85324",NA,NA,NA,NA,"$30,000",NA
34,"19000 E MAREN AvenueBlack Canyon City, AZ 85324",NA,NA,NA,NA,"$29,000",NA
35,"19350 E SAGUARO DriveBlack Canyon City, AZ 85324",NA,NA,NA,NA,"$28,995",NA
36,"20650 E Amethyst PlaceBlack Canyon City, AZ 85324",NA,NA,NA,NA,"$15,000",NA
